request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,Determined by strict algorithmic rules.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,Determined by strict algorithmic rules.
request_28,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,Determined by strict algorithmic rules.
request_30,268.74,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-06-05,none,Determined by strict algorithmic rules.
request_31,0,affordable_later,wait,2024-09-15:18164000.0,2024-09-15,none,Determined by strict algorithmic rules.
request_32,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_33,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,Determined by strict algorithmic rules.
request_35,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_36,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_37,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_38,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_39,0,affordable_later,wait,2026-04-15:208600.0,2026-04-15,none,Determined by strict algorithmic rules.
request_40,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_41,0,affordable_later,wait,2025-11-15:38760000.0,2025-11-15,none,Determined by strict algorithmic rules.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.0,2026-01-05,none,Determined by strict algorithmic rules.
request_43,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_44,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_45,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_46,49449.99,affordable_with_plan,partial_payment,2024-12-03:49449.99|2024-12-04:0.01,2024-12-04,none,Determined by strict algorithmic rules.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,Determined by strict algorithmic rules.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,Determined by strict algorithmic rules.
request_49,0,not_affordable,not_recommended,none,,none,No safe payment method found.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.0,2025-08-06,none,Determined by strict algorithmic rules.
